text,label,subcategory
Just a reminder: does anyone know where to access free mental health support in this area?,HAM,help_request
⚠️💥✅ Work with me from home — sell health products to your neighbors. Easy income!,SPAM,multi_level_marketing
Admin notice: Community forum account suspended. Click here to restore access!!!,SPAM,phishing_community_style
"Hi everyone, does anyone know where to access free mental health support in this area?",HAM,help_request
DON'T MISS THIS: Community assistance account locked — provide your details to restore access.,SPAM,phishing_community_style
Work with me from home — sell health products to your neighbors. Easy income!!!,SPAM,multi_level_marketing
🚨💰🎁 Community disaster relief fund — donate to help rebuild after the fire!,SPAM,fake_charity_scam
"Hello neighbors, local history walk this Sunday at 10am. Meet outside the old town hall.",HAM,community_event
🚨💰🎁 Local orphanage urgently needs funds. Send directly to our account now!,SPAM,fake_charity_scam
DON'T MISS THIS: Help displaced families — your cash donation goes directly to victims. Give!,SPAM,fake_charity_scam
Council housing fast-tracked for your postcode. Apply before Friday midnight!!!,SPAM,fake_housing_offer
You better delete that post or I will find you and deal with you personally!!!,SPAM,harassment_and_threats
URGENT: Keep your opinions to yourself or I will make sure everyone knows your secrets.,SPAM,harassment_and_threats
DON'T MISS THIS: Your neighborhood group membership will expire. Renew your credentials now!,SPAM,phishing_community_style
ALERT: New vaccine being tested on community members without consent. Share!!!,SPAM,misinformation_health
💸🆓🔥 Council services alert: Update your records or lose access to local benefits.,SPAM,phishing_community_style
ACT NOW: Council housing fast-tracked for your postcode. Apply before Friday midnight!,SPAM,fake_housing_offer
COMMUNITY DISASTER RELIEF FUND — DONATE TO HELP REBUILD AFTER THE FIRE!,SPAM,fake_charity_scam
⚠️💥✅ Council housing fast-tracked for your postcode. Apply before Friday midnight!,SPAM,fake_housing_offer
"Hello neighbors, i'm offering free rides to medical appointments for those without transport.",HAM,resource_sharing
Does anyone know where to access free mental health support in this area? Stay safe everyone.,HAM,help_request
Can anyone help a recently arrived refugee family navigate local services? Cheers!,HAM,help_request
COMMUNITY ENTREPRENEURSHIP — SELL OUR KITS AND EARN COMMISSION ON EVERY SALE!,SPAM,multi_level_marketing
HIRING HELPERS: $75/hour. Work your own hours. No background check required!!!,SPAM,fake_job_posting
URGENT: Community welfare check — $600 available if you verify your details with us.,SPAM,fake_assistance_program
SUBSIDIZED HOUSING PROGRAM — PAY ONLY $100/MONTH. ONLY 5 SPOTS REMAINING!,SPAM,fake_housing_offer
New chemtrail spraying over your city linked to respiratory illness. SHARE!,SPAM,misinformation_health
Community food bank running dry. Donate cash to our personal account today!,SPAM,fake_charity_scam
ACT NOW: Debt consolidation loan approved — wipe your debts for just $300 upfront fee!,SPAM,predatory_lending
Free English conversation practice — I'm a retired teacher with time to help Stay safe everyone.,HAM,resource_sharing
Join the fastest growing community business. Recruit 3 people and retire!!!,SPAM,multi_level_marketing
GOVERNMENT GRANT: You qualify for $5000 community assistance. Claim today!!!,SPAM,fake_assistance_program
URGENT: Government health agency lying about disease rates. Real numbers are 10x worse!,SPAM,misinformation_health
Action required: Your community profile will be deleted unless you confirm now.,SPAM,phishing_community_style
